Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
RACEN.MX,4685.0,2022/01/28,12:59 CST,0.0,0.0,4685.0,4685.0,0,,,,,,,
RA.MX,120.38,2022/02/01,11:47 CST,2.119995,117.56,121.38,116.57,979067,,,,,,,
QVGMEX18.MX,22.78,2022/01/31,14:57 CST,0.0,0.0,22.78,22.78,2,,,,,,,
QS.MX,344.5,2022/02/01,11:48 CST,1.5700073,336.0,346.53,343.54,58,,,,,,,
QRVO.MX,2663.0,2022/01/28,11:22 CST,-37.5,0.0,2663.0,2663.0,0,,,,,,,
QQQ301R-DC028.MX,100.0,2022/01/25,12:31 CST,0.0,0.0,100.0,100.0,0,,,,,,,
QIAN.MX,1001.47,2022/01/28,11:09 CST,0.0,0.0,1001.47,1001.47,0,,,,,,,
QDEL.MX,2120.0,2022/01/25,09:53 CST,-2.2700195,0.0,2120.0,2120.0,0,,,,,,,
Q.MX,110.52,2022/02/01,11:46 CST,-0.91000366,111.17,114.0,110.25,250175,,,,,,,
PXD.MX,4525.0,2022/01/31,13:44 CST,0.0,0.0,4525.0,4525.0,0,,,,,,,
PUKN.MX,688.64,2022/01/25,10:18 CST,0.0,0.0,688.64,688.64,0,,,,,,,
PTON.MX,573.0,2022/02/01,11:39 CST,3.0100098,569.99,582.0,569.99,649,,,,,,,
PRXN.MX,1638.19,2022/01/25,10:39 CST,0.0,0.0,1638.19,1638.19,0,,,,,,,
PROCORPB.MX,7.4,2022/01/26,11:02 CST,0.0,0.0,7.4,7.4,0,,,,,,,
POSADASA.MX,29.5,2022/01/31,08:45 CST,0.0,0.0,29.5,29.5,29,,,,,,,
PODD.MX,4624.53,2022/01/28,10:18 CST,-185.51025,0.0,4624.53,4624.53,0,,,,,,,
POCHTECB.MX,7.35,2022/01/28,14:58 CST,0.1500001,0.0,7.35,7.35,12,,,,,,,
PNDORAN.MX,2176.1,2022/01/28,08:52 CST,-16.039795,0.0,2176.1,2176.1,0,,,,,,,
